datetime,value_token,wallet
2025-08-07T23:41:23+00:00,8967516.51,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T23:36:11+00:00,94049593.209195,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T23:25:11+00:00,3197791.641342,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T23:24:23+00:00,121756.269248,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T23:24:23+00:00,100406.826902,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T23:23:47+00:00,399999.996,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T23:20:23+00:00,850243.384651,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T22:59:23+00:00,179998.5,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T22:44:59+00:00,136588.237,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T22:41:59+00:00,105339.290527,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T22:29:23+00:00,108249.540751,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T22:24:23+00:00,314010.5,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T22:15:23+00:00,245874.489582,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-08-07T22:15:23+00:00,100038.5,0x37305b1cd40574e4c5ce33f8e8306be057fd7341
2025-02-13T06:57:59+00:00,700000000.0,0xad354cfbaa4a8572dd6df021514a3931a8329ef5
2025-02-13T06:56:47+00:00,699999990.0,0xad354cfbaa4a8572dd6df021514a3931a8329ef5
2025-05-20T09:48:59+00:00,738348728.0,0xe1940f578743367f38d3f25c2d2d32d6636929b6
2024-12-15T12:17:47+00:00,221642372.0,0xe1940f578743367f38d3f25c2d2d32d6636929b6
2024-12-14T13:04:35+00:00,220008888.0,0xe1940f578743367f38d3f25c2d2d32d6636929b6
2024-12-13T08:26:47+00:00,220000000.0,0xe1940f578743367f38d3f25c2d2d32d6636929b6
2025-08-07T14:32:59+00:00,574746.328299,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T14:06:23+00:00,44699537.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T11:57:47+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T11:50:59+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T11:49:23+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T11:47:59+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T11:37:35+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T07:54:23+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T07:52:23+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T07:50:23+00:00,34055817.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-07T07:50:23+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-06T22:49:11+00:00,27225902.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-06T07:09:59+00:00,501000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-06T06:54:47+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-06T06:52:47+00:00,30000000.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2025-08-06T01:47:47+00:00,30554847.0,0x2d4d2a025b10c09bdbd794b4fce4f7ea8c7d7bb4
2024-12-12T10:08:59+00:00,1000000000.0,0x420ef1f25563593af5fe3f9b9d3bc56a8bd8c104
2025-08-06T10:35:11+00:00,992999899.84,0xffa69c0080582098af595156240214b742735a5e
2025-08-07T23:41:59+00:00,900000.0,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-07T23:40:35+00:00,120164.4,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-07T23:36:47+00:00,3986043.0,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-07T23:36:35+00:00,1099998.5,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-07T23:35:35+00:00,312229.8807,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-07T23:34:35+00:00,520383.1345,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-07T23:34:23+00:00,199998.5,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-07T23:30:47+00:00,274047.5,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-07T23:30:11+00:00,1000000.0,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-07T23:29:23+00:00,5202635.0,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055
2025-08-06T10:46:59+00:00,700000000.0,0x38aaef3782910bdd9ea3566c839788af6ff9b200
2025-08-06T10:20:23+00:00,993186168.508803,0x38aaef3782910bdd9ea3566c839788af6ff9b200
2025-08-06T08:08:47+00:00,100000000.0,0x38aaef3782910bdd9ea3566c839788af6ff9b200
2025-08-06T07:56:11+00:00,100000000.0,0x38aaef3782910bdd9ea3566c839788af6ff9b200
2025-08-06T07:48:47+00:00,10000000.0,0x38aaef3782910bdd9ea3566c839788af6ff9b200
2025-08-06T07:46:59+00:00,698990107.089702,0x38aaef3782910bdd9ea3566c839788af6ff9b200
2025-08-06T07:45:23+00:00,1000000.0,0x38aaef3782910bdd9ea3566c839788af6ff9b200
2025-08-07T23:43:35+00:00,220000.0,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c
2025-08-07T23:43:23+00:00,8967516.520692,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c
